Module,Lesson,Step number,Template Type,Rationale,Step title,Content Outline
4,1,1,Article,"Introduces the concept and structure of credit-recovery courses, essential for students to understand before setting academic timelines.",What is Single Course Recovery?,"Definition of Single Course Recovery and its purpose.
Self‑paced structure.
Alignment with state and national standards.
Reminder to confirm credit acceptance with the home school."
4,2,1,Article,Clarifies who qualifies for Single Course Recovery and sets expectations for course length and pacing.,Duration and Eligibility for Course Recovery,"Eligibility: grades 6‑12.
Six‑month completion window.
Emphasis on student responsibility in self-paced progress."
4,3,1,Article,"Outlines the process and eligibility for requesting an extension, supporting students in planning realistically.",When and How to Request an Extension,"Written request and parent signature via Help Desk.
Examples of legitimate reasons (medical, family emergency).
One‑time limit per grade level."
4,4,1,Article,Ensures students understand the cost and requirements of course extensions to make informed decisions.,Extension Approval Criteria and Fees,"Criteria: reasonable progress and legitimate reason.
$200 fee for two‑month extension.
Lack of participation not considered a valid reason."
4,5,1,Activity,Allows students to apply learning from Steps 1–4 by calculating a personalised schedule and anticipating extension needs.,Build Your Timeline Activity,"Interactive calculator: enter number of active courses and weekly study hours.
Auto‑generated completion date range (4–6 months).
Calendar reminder prompt.
Reflection question: “What obstacles might delay your progress and how will you address them?”"
4,6,1,Article,Sets participation standards and helps prevent truancy by clarifying minimum activity levels.,Your Weekly Participation Requirements,"Definition of substantive participation.
Weekly minimums: 20 hours per week, three logins per course.
Expectations for students under 18 and adult learners."
4,7,1,Article,"Informs students of the risks associated with truancy, encouraging consistent course engagement.",Consequences of Non-Participation,"Truancy definition.
Notice of Intent to Withdraw process.
Role of parents/guardians in monitoring engagement."
4,8,1,Video,Shows students how to submit help tickets via screencast to reduce technical barriers and encourage communication.,Navigating the Help Desk Ticket System,"Logging into LearnStage.
Selecting the correct ticket category (Academic, Technical, Administrative).
Writing a clear subject line and message.
Typical response times and follow‑up procedures."
4,9,1,Activity,Promotes personal accountability with a quiz and digital commitment pledge.,Attendance & Communication Self‑Check,"Five-question true/false quiz.
Digital pledge to log in three times weekly per course.
Option to download/email pledge to a parent/guardian."
4,10,1,Article,Prevents confusion about course access vs. staff support availability.,24/7 Access and Office Support Hours,"24/7/365 platform access.
Office hours: Monday–Friday, 8 a.m.–5 p.m. CST.
Help Desk ticket triage process after hours."
